"","","","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)"
"United Republic of Tanzania"," Data source"," Spirits","","0.10","0.10","0.10","0.21","0.10","0.24"
"United Republic of Tanzania"," Data source"," Other alcoholic beverages","","5.28","5.28","5.28","4.84","5.81","5.74"
"United States of America"," Data source"," All types","","8.78","8.77","8.81","8.86","8.66","8.56"
"United States of America"," Data source"," Beer","","4.13","4.15","4.23","4.29","4.22","4.30"
"United States of America"," Data source"," Wine","","1.59","1.61","1.59","1.60","1.55","1.45"
"United States of America"," Data source"," Spirits","","3.07","3.01","2.99","2.96","2.89","2.81"
"United States of America"," Data source"," Other alcoholic beverages","","","0","0","0","0","0"
"Uruguay"," Data source"," All types","","9.03","9.06","8.70","8.47","8.75","8.52"
"Uruguay"," Data source"," Beer","","3.18","3.19","3.20","3.34","3.22","2.97"
"Uruguay"," Data source"," Wine","","3.94","3.83","3.97","3.72","4.12","4.13"
"Uruguay"," Data source"," Spirits","","1.91","2.04","1.53","1.41","1.42","1.42"
"Uruguay"," Data source"," Other alcoholic beverages","","0","0","0","0","0","0"
"Uzbekistan"," Data source"," All types","1.60","1.61","1.51","1.56","1.52","1.77","1.79"
"Uzbekistan"," Data source"," Beer","0.55","0.55","0.45","0.50","0.56","0.80","0.84"
"Uzbekistan"," Data source"," Wine","0.14","0.14","0.13","0.13","0.13","0.13","0.12"
"Uzbekistan"," Data source"," Spirits","0.91","0.91","0.92","0.92","0.83","0.84","0.83"
"Uzbekistan"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0"
"Vanuatu"," Data source"," All types","","0.85","0.86","0.98","1.04","0.85","0.91"
"Vanuatu"," Data source"," Beer","","0.33","0.34","0.47","0.49","0.37","0.34"
"Vanuatu"," Data source"," Wine","","0.22","0.22","0.20","0.24","0.17","0.19"
"Vanuatu"," Data source"," Spirits","","0.31","0.31","0.31","0.31","0.31","0.38"
"Vanuatu"," Data source"," Other alcoholic beverages","","0","0","0","0","0.01","0"
"Venezuela (Bolivarian Republic of)"," Data source"," All types","3.87","5.98","6.41","6.66","6.65","6.70","7.18"
"Venezuela (Bolivarian Republic of)"," Data source"," Beer","2.68","4.70","4.94","4.93","4.86","5.02","5.45"
"Venezuela (Bolivarian Republic of)"," Data source"," Wine","0.01","0.01","0.05","0.04","0.10","0.09","0.06"
"Venezuela (Bolivarian Republic of)"," Data source"," Spirits","1.13","1.22","1.35","1.62","1.63","1.53","1.62"
"Venezuela (Bolivarian Republic of)"," Data source"," Other alcoholic beverages","0.05","0.05","0.07","0.07","0.06","0.05","0.05"
"Viet Nam"," Data source"," All types","3.10","2.92","2.74","2.66","2.50","2.37","2.18"
"Viet Nam"," Data source"," Beer","2.83","2.67","2.50","2.43","2.33","2.24","2.07"
"Viet Nam"," Data source"," Wine","0.02","0.02","0.02","0.02","0.02","0.02","0.02"
"Viet Nam"," Data source"," Spirits","0.24","0.23","0.21","0.21","0.14","0.11","0.09"
"Viet Nam"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0"
"Yemen"," Data source"," All types","","0.04","0.04","0.04","0.04","0.04","0.05"
"Yemen"," Data source"," Beer","","0.03","0.03","0.03","0.04","0.03","0.05"
"Yemen"," Data source"," Wine","","0","0","0","0","0","0"
"Yemen"," Data source"," Spirits","","0","0","0","0","0","0"
"Yemen"," Data source"," Other alcoholic beverages","","0","0","0","0","0","0"
"Zambia"," Data source"," All types","","2.89","2.93","2.81","2.96","2.93","2.95"
"Zambia"," Data source"," Beer","","1.05","1.08","0.99","0.82","0.70","0.58"
"Zambia"," Data source"," Wine","","0.08","0.09","0.07","0.06","0.06","0.07"
"Zambia"," Data source"," Spirits","","0.01","0.01","0.01","0.38","0.34","0.35"
"Zambia"," Data source"," Other alcoholic beverages","","1.75","1.75","1.75","1.70","1.83","1.95"
"Zimbabwe"," Data source"," All types","","3.55","3.44","3.34","3.45","3.34","2.92"
"Zimbabwe"," Data source"," Beer","","2.23","2.12","2.05","2.07","2.05","1.67"
"Zimbabwe"," Data source"," Wine","","0.05","0.05","0.13","0.09","0.13","0.10"
"Zimbabwe"," Data source"," Spirits","","0.43","0.43","0.32","0.44","0.32","0.34"
"Zimbabwe"," Data source"," Other alcoholic beverages","","0.85","0.85","0.83","0.85","0.83","0.81"
