"","","","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)"
"Colombia"," Data source"," Wine","0.05","0.05","0.05","0.05","0.05","0.06","0.07"
"Colombia"," Data source"," Spirits","1.22","1.23","1.24","1.28","1.29","1.31","1.33"
"Colombia"," Data source"," Other alcoholic beverages","0.01","0.02","0.02","0.02","0.02","0.02","0.02"
"Comoros"," Data source"," All types","","","","0.25","0.11","0.12","0.15"
"Comoros"," Data source"," Beer","","","","0.06","0.03","0.02","0.04"
"Comoros"," Data source"," Wine","","","","0.08","0.04","0.05","0.03"
"Comoros"," Data source"," Spirits","","","","0.11","0.04","0.05","0.08"
"Comoros"," Data source"," Other alcoholic beverages","","","","0","0","0","0"
"Congo"," Data source"," All types","","4.86","4.93","4.71","4.46","4.34","4.12"
"Congo"," Data source"," Beer","","4.10","4.13","3.96","3.88","3.76","3.53"
"Congo"," Data source"," Wine","","0.23","0.24","0.20","0.01","0.01","0.01"
"Congo"," Data source"," Spirits","","0.50","0.53","0.53","0.54","0.55","0.56"
"Congo"," Data source"," Other alcoholic beverages","","0.03","0.03","0.03","0.02","0.02","0.02"
"Cook Islands"," Data source"," All types","","","","15.78","13.67","7.07","13.01"
"Cook Islands"," Data source"," Beer","","","","5.00","2.63","2.45","2.10"
"Cook Islands"," Data source"," Wine","","","","2.54","2.70","1.49","5.06"
"Cook Islands"," Data source"," Spirits","","","","8.24","8.34","3.12","5.86"
"Cook Islands"," Data source"," Other alcoholic beverages","","","","0","0","0","0"
"Costa Rica"," Data source"," All types","3.70","3.63","3.56","3.53","3.43","3.49","3.65"
"Costa Rica"," Data source"," Beer","2.38","2.31","2.27","2.24","2.23","2.12","2.11"
"Costa Rica"," Data source"," Wine","0.27","0.27","0.26","0.23","0.20","0.21","0.19"
"Costa Rica"," Data source"," Spirits","1.03","1.02","1.00","1.02","0.96","1.12","1.31"
"Costa Rica"," Data source"," Other alcoholic beverages","0.03","0.03","0.04","0.04","0.04","0.04","0.04"
"Côte d'Ivoire"," Data source"," All types","","4.79","4.67","4.56","4.69","4.61","4.77"
"Côte d'Ivoire"," Data source"," Beer","","1.05","0.93","0.80","0.79","0.72","0.70"
"Côte d'Ivoire"," Data source"," Wine","","0.24","0.25","0.27","0.27","0.27","0.27"
"Côte d'Ivoire"," Data source"," Spirits","","0.01","0.01","0.01","0.05","0.02","0.02"
"Côte d'Ivoire"," Data source"," Other alcoholic beverages","","3.49","3.49","3.49","3.59","3.59","3.78"
