"","","","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)"
"Romania"," Data source"," Wine","3.10","3.50","3.30","2.99","2.33","4.29","3.33","3.92","3.16","3.47"
"Romania"," Data source"," Spirits","2.40","2.90","1.90","0.90","1.28","1.29","1.82","2.32","3.50","3.52"
"Romania"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Russian Federation"," Data source"," All types","11.25","12.09","12.23","11.83","11.59","11.50","11.32","10.87","10.47","10.18"
"Russian Federation"," Data source"," Beer","4.20","4.66","4.72","4.11","3.66","3.47","3.10","2.92","2.63","2.18"
"Russian Federation"," Data source"," Wine","1.26","1.27","1.17","1.00","1.03","0.95","0.90","0.80","0.75","0.71"
"Russian Federation"," Data source"," Spirits","5.79","6.16","6.34","6.72","6.90","7.09","7.32","7.15","7.09","7.29"
"Russian Federation"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Rwanda"," Data source"," All types","7.35","7.57","7.89","8.85","9.31","7.90","8.73","9.27","9.40","8.82"
"Rwanda"," Data source"," Beer","0.72","0.58","0.66","0.63","0.54","0.46","0.45","0.59","0.55","0.59"
"Rwanda"," Data source"," Wine","0","0","0","0","0","0","0","0","0","0"
"Rwanda"," Data source"," Spirits","0.03","0.03","0.03","0.02","0","0","0","0","0","0"
"Rwanda"," Data source"," Other alcoholic beverages","6.60","6.95","7.20","8.20","8.77","7.44","8.28","8.67","8.85","8.23"
"Saint Kitts and Nevis"," Data source"," All types","9.68","10.07","10.14","10.80","10.03","9.14","8.54","8.29","8.55","8.41"
"Saint Kitts and Nevis"," Data source"," Beer","3.76","3.81","3.87","3.96","3.85","3.39","3.15","3.09","3.54","3.62"
"Saint Kitts and Nevis"," Data source"," Wine","0.90","0.85","0.54","0.35","0.23","0.32","0.23","0.31","0.39","0.65"
"Saint Kitts and Nevis"," Data source"," Spirits","4.79","5.16","5.46","6.24","5.73","5.23","5.15","4.88","4.60","4.13"
"Saint Kitts and Nevis"," Data source"," Other alcoholic beverages","0.24","0.26","0.26","0.25","0.22","0.19","0.01","0.01","0.02","0.02"
"Saint Lucia"," Data source"," All types","10.83","11.82","12.43","13.22","12.10","11.64","12.55","11.85","12.02","11.69"
"Saint Lucia"," Data source"," Beer","3.28","3.49","3.86","3.82","3.57","3.39","3.36","3.11","3.22","3.22"
"Saint Lucia"," Data source"," Wine","1.20","1.28","1.36","1.68","0.72","0.69","0.85","0.77","1.18","1.11"
"Saint Lucia"," Data source"," Spirits","5.90","6.45","6.56","7.07","7.16","7.03","8.28","7.91","7.56","7.30"
"Saint Lucia"," Data source"," Other alcoholic beverages","0.45","0.59","0.64","0.64","0.65","0.53","0.06","0.06","0.06","0.06"
"Saint Vincent and the Grenadines"," Data source"," All types","6.84","6.91","5.88","5.92","6.03","5.42","5.10","4.94","4.73","4.80"
"Saint Vincent and the Grenadines"," Data source"," Beer","2.29","2.37","2.47","2.59","2.43","2.03","1.84","1.92","1.97","1.96"
"Saint Vincent and the Grenadines"," Data source"," Wine","0.42","0.32","0.29","0.27","0.19","0.14","0.12","0.19","0.07","0.08"
"Saint Vincent and the Grenadines"," Data source"," Spirits","4.00","4.10","3.00","2.95","3.32","3.15","3.13","2.82","2.67","2.75"
"Saint Vincent and the Grenadines"," Data source"," Other alcoholic beverages","0.13","0.12","0.12","0.11","0.10","0.09","0.01","0.01","0.01","0.01"
"Samoa"," Data source"," All types","2.88","3.97","3.85","3.52","3.63","3.62","4.16","3.29","3.42","3.00"
"Samoa"," Data source"," Beer","2.55","3.65","3.60","3.37","3.31","3.30","3.70","3.03","3.25","2.85"
"Samoa"," Data source"," Wine","0.06","0.05","0.09","0.09","0.08","0.06","0.06","0.05","0.02","0.03"
"Samoa"," Data source"," Spirits","0.26","0.27","0.17","0.07","0.24","0.26","0.40","0.22","0.15","0.12"
"Samoa"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Sao Tome and Principe"," Data source"," All types","4.31","4.53","4.29","5.63","5.50","5.94","6.73","5.99","5.20","5.68"
"Sao Tome and Principe"," Data source"," Beer","0.95","1.00","0.99","1.05","1.15","1.16","1.19","1.22","1.22","1.25"
"Sao Tome and Principe"," Data source"," Wine","2.75","2.79","2.67","3.97","3.50","4.00","4.73","4.01","3.03","3.26"
"Sao Tome and Principe"," Data source"," Spirits","0.61","0.74","0.63","0.61","0.85","0.78","0.81","0.76","0.95","0.68"
"Sao Tome and Principe"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Saudi Arabia"," Data source"," All types","0.08","0.08","0.10","0.07","0.05","0.06","0.05","0.05","0.05","0.05"
"Saudi Arabia"," Data source"," Beer","0","0","0","0","0","0","0","0","0","0"
"Saudi Arabia"," Data source"," Wine","0","0","0.01","0","0","0","0","0","0","0"
"Saudi Arabia"," Data source"," Spirits","0.08","0.08","0.09","0.07","0.05","0.06","0.05","0.05","0.05","0.05"
"Saudi Arabia"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Senegal"," Data source"," All types","0.30","0.28","0.32","0.35","0.33","0.35","0.34","0.36","0.35","0.29"
"Senegal"," Data source"," Beer","0.15","0.18","0.17","0.16","0.16","0.16","0.14","0.14","0.16","0.16"
"Senegal"," Data source"," Wine","0.13","0.07","0.12","0.14","0.12","0.15","0.17","0.18","0.14","0.09"
"Senegal"," Data source"," Spirits","0.03","0.03","0.03","0.05","0.04","0.04","0.04","0.04","0.04","0.04"
"Senegal"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Serbia"," Data source"," All types","8.60","8.61","8.72","8.52","","","","","",""
"Serbia"," Data source"," Beer","2.90","3.60","3.74","3.81","","","","","",""
"Serbia"," Data source"," Wine","3.41","2.72","2.67","2.37","","","","","",""
"Serbia"," Data source"," Spirits","2.29","2.29","2.29","2.32","","","","","",""
"Serbia"," Data source"," Other alcoholic beverages","0.01","0.01","0.01","0.01","","","","","",""
"Seychelles"," Data source"," All types","5.53","6.76","7.49","7.01","8.40","7.15","7.36","7.84","7.09","8.17"
"Seychelles"," Data source"," Beer","2.68","4.44","4.73","4.51","5.10","5.00","5.76","6.33","6.02","6.21"
"Seychelles"," Data source"," Wine","1.89","1.48","1.22","1.71","2.48","1.20","0.80","0.61","0.66","0.90"
"Seychelles"," Data source"," Spirits","0.88","0.80","1.37","0.79","0.82","0.95","0.80","0.90","0.41","1.06"
"Seychelles"," Data source"," Other alcoholic beverages","0.09","0.04","0.17","0.01","0","0","0","0","0","0"
"Sierra Leone"," Data source"," All types","4.06","4.02","3.97","3.92","3.95","4.13","4.23","4.23","4.40","4.14"
"Sierra Leone"," Data source"," Beer","0.19","0.19","0.15","0.15","0.14","0.14","0.14","0.14","0.14","0.13"
"Sierra Leone"," Data source"," Wine","0.03","0.02","0.01","0.01","0.01","0.01","0.01","0.01","0","0"
"Sierra Leone"," Data source"," Spirits","0.05","0.02","0.01","0.01","0.02","0.03","0.03","0.02","0","0.03"
"Sierra Leone"," Data source"," Other alcoholic beverages","3.77","3.79","3.80","3.74","3.78","3.95","4.05","4.05","4.25","3.97"
"Singapore"," Data source"," All types","1.72","1.69","1.59","1.55","1.49","1.44","1.43","2.16","2.08","2.02"
"Singapore"," Data source"," Beer","1.22","1.22","1.13","1.14","1.10","1.07","1.06","1.47","1.34","1.29"
"Singapore"," Data source"," Wine","0.23","0.23","0.22","0.19","0.18","0.17","0.15","0.20","0.13","0.12"
"Singapore"," Data source"," Spirits","0.25","0.22","0.22","0.19","0.18","0.17","0.17","0.49","0.61","0.61"
"Singapore"," Data source"," Other alcoholic beverages","0.03","0.03","0.03","0.03","0.03","0.03","0.04","0","0","0"
"Slovakia"," Data source"," All types","10.69","11.43","10.63","10.31","10.83","10.03","9.85","10.78","10.73","11.06"
"Slovakia"," Data source"," Beer","3.92","3.81","3.94","3.83","3.85","3.99","4.38","4.53","4.32","4.47"
"Slovakia"," Data source"," Wine","2.14","2.02","1.79","2.16","1.56","1.33","1.46","1.59","1.48","1.49"
"Slovakia"," Data source"," Spirits","4.63","5.59","4.90","4.31","5.42","4.23","3.65","4.29","4.56","4.85"
"Slovakia"," Data source"," Other alcoholic beverages","0","0","0","0","0","0.48","0.36","0.37","0.37","0.25"
"Slovenia"," Data source"," All types","10.52","10.94","11.02","12.26","11.19","10.01","11.55","9.87","11.58","12.80"
"Slovenia"," Data source"," Beer","5.09","5.16","5.70","5.70","4.70","4.51","4.51","4.32","4.65","5.13"
"Slovenia"," Data source"," Wine","4.55","4.58","4.08","5.43","5.22","4.18","5.46","3.86","5.07","5.82"
"Slovenia"," Data source"," Spirits","0.88","1.20","1.24","1.13","1.09","1.11","1.58","1.69","1.87","1.84"
"Slovenia"," Data source"," Other alcoholic beverages","0","0","0","0","0.19","0.20","0","0","0","0.01"
"Solomon Islands"," Data source"," All types","1.20","1.07","0.82","1.01","1.13","1.21","1.20","1.09","0.70","0.71"
"Solomon Islands"," Data source"," Beer","0.95","1.01","0.74","0.96","0.67","0.76","0.75","0.59","0.44","0.62"
"Solomon Islands"," Data source"," Wine","0.02","0.02","0.03","0.02","0.03","0.02","0.02","0.01","0.01","0.02"
"Solomon Islands"," Data source"," Spirits","0.22","0.04","0.05","0.03","0.41","0.42","0.43","0.48","0.24","0.07"
"Solomon Islands"," Data source"," Other alcoholic beverages","0","0","0","0","0.02","0","0","0","0","0"
"Somalia"," Data source"," All types","0","0","0","0","0","0","0","0","0","0"
"Somalia"," Data source"," Beer","0","0","0","0","0","0","0","0","0","0"
"Somalia"," Data source"," Wine","0","0","0","0","0","0","0","0","0","0"
"Somalia"," Data source"," Spirits","0","0","0","0","0","0","0","0","0","0"
"Somalia"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"South Africa"," Data source"," All types","8.03","8.60","8.83","8.78","8.94","8.04","8.22","8.40","8.67","8.85"
"South Africa"," Data source"," Beer","3.95","4.16","4.14","3.98","4.05","4.60","4.80","4.74","4.89","5.05"
"South Africa"," Data source"," Wine","1.35","1.44","1.46","1.42","1.45","1.41","1.41","1.61","1.66","1.66"
"South Africa"," Data source"," Spirits","1.29","1.36","1.40","1.38","1.36","1.34","1.32","1.35","1.41","1.44"
"South Africa"," Data source"," Other alcoholic beverages","1.44","1.65","1.83","2.00","2.08","0.69","0.69","0.71","0.72","0.70"
"Spain"," Data source"," All types","9.99","10.24","11.05","11.86","11.92","11.68","11.35","10.74","12.35","11.84"
"Spain"," Data source"," Beer","4.98","4.92","5.09","5.15","4.98","4.10","4.11","3.83","3.91","3.79"
"Spain"," Data source"," Wine","2.28","2.44","2.78","3.43","3.67","3.89","3.82","4.02","4.20","4.53"
"Spain"," Data source"," Spirits","2.73","2.88","3.18","3.28","3.27","3.69","3.42","2.89","4.23","3.52"
"Spain"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Sri Lanka"," Data source"," All types","2.05","2.10","2.29","1.96","1.97","1.56","1.69","1.62","1.68","1.45"
"Sri Lanka"," Data source"," Beer","0.20","0.20","0.20","0.20","0.30","0.17","0.15","0.15","0.10","0.10"
"Sri Lanka"," Data source"," Wine","0","0","0","0","0","0","0.01","0.01","0","0.01"
"Sri Lanka"," Data source"," Spirits","1.81","1.86","2.05","1.72","1.63","1.39","1.53","1.46","1.58","1.34"
"Sri Lanka"," Data source"," Other alcoholic beverages","0.04","0.04","0.04","0.04","0.04","0","0","0","0","0"
"Sudan"," Data source"," All types","1.99","2.01","2.01","1.90","1.55","1.59","1.74","1.59","1.81","1.76"
"Sudan"," Data source"," Beer","0.08","0.12","0.08","0.01","0","0","0","0","0","0"
"Sudan"," Data source"," Wine","0","0","0","0","0","0","0","0","0","0"
"Sudan"," Data source"," Spirits","0.27","0.26","0.29","0.30","0.27","0.27","0.31","0.35","0.27","0.26"
"Sudan"," Data source"," Other alcoholic beverages","1.64","1.62","1.64","1.59","1.28","1.32","1.43","1.24","1.54","1.50"
"Suriname"," Data source"," All types","5.14","4.96","4.74","4.54","4.50","4.58","4.56","4.44","4.26","4.32"
"Suriname"," Data source"," Beer","1.99","1.91","1.71","1.64","1.53","1.64","1.65","1.67","1.72","1.67"
"Suriname"," Data source"," Wine","0.32","0.25","0.18","0.11","0.13","0.08","0.10","0.09","0.08","0.05"
"Suriname"," Data source"," Spirits","2.67","2.64","2.70","2.64","2.75","2.78","2.81","2.67","2.47","2.60"
"Suriname"," Data source"," Other alcoholic beverages","0.16","0.16","0.15","0.15","0.10","0.08","0","0","0","0.01"
"Sweden"," Data source"," All types","7.30","6.90","6.90","6.50","6.50","6.60","6.90","6.90","6.60","6.20"
"Sweden"," Data source"," Beer","2.70","2.60","2.60","2.50","2.60","2.60","2.80","2.70","2.70","2.70"
"Sweden"," Data source"," Wine","3.30","3.10","3.10","2.90","2.90","2.80","2.90","2.80","2.50","2.20"
"Sweden"," Data source"," Spirits","1.20","1.10","1.10","1.00","1.00","1.20","1.20","1.40","1.40","1.30"
"Sweden"," Data source"," Other alcoholic beverages","0.10","0.10","0.10","0.10","0","0","0","0","0","0"
"Switzerland"," Data source"," All types","10.15","10.29","10.44","10.24","10.15","10.55","10.82","10.85","11.12","11.26"
"Switzerland"," Data source"," Beer","3.30","3.31","3.32","3.21","3.11","3.24","3.37","3.26","3.38","3.39"
"Switzerland"," Data source"," Wine","4.84","4.97","5.10","5.00","5.14","5.27","5.41","5.55","5.68","5.81"
"Switzerland"," Data source"," Spirits","1.89","1.89","1.90","1.90","1.79","1.92","1.92","1.93","1.93","1.94"
"Switzerland"," Data source"," Other alcoholic beverages","0.12","0.12","0.12","0.12","0.12","0.12","0.12","0.12","0.12","0.12"
"Syrian Arab Republic"," Data source"," All types","0.75","0.74","0.74","0.75","0.78","0.60","0.86","0.90","0.94","0.92"
"Syrian Arab Republic"," Data source"," Beer","0.08","0.06","0.05","0.04","0.04","0.04","0.04","0.04","0.04","0.04"
"Syrian Arab Republic"," Data source"," Wine","0.01","0.01","0","0","0","0","0","0","0","0"
"Syrian Arab Republic"," Data source"," Spirits","0.66","0.68","0.69","0.71","0.74","0.56","0.82","0.86","0.91","0.89"
"Syrian Arab Republic"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Tajikistan"," Data source"," All types","0.68","0.59","0.59","0.63","0.76","0.82","0.88","0.94","0.94","0.91"
"Tajikistan"," Data source"," Beer","0.24","0.30","0.19","0.17","0.15","0.14","0.14","0.14","0.14","0.15"
"Tajikistan"," Data source"," Wine","0.04","0.08","0.13","0.17","0.29","0.30","0.32","0.33","0.31","0.21"
"Tajikistan"," Data source"," Spirits","0.40","0.21","0.26","0.29","0.33","0.39","0.42","0.47","0.48","0.55"
"Tajikistan"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Thailand"," Data source"," All types","6.74","7.54","6.14","6.12","6.21","5.80","5.95","5.72","5.75","5.40"
"Thailand"," Data source"," Beer","2.01","2.24","1.98","1.95","1.69","1.53","1.51","1.20","1.16","1.09"
"Thailand"," Data source"," Wine","0.14","0.16","0.02","0.02","0.02","0.04","0.03","0.03","0.01","0.02"
"Thailand"," Data source"," Spirits","4.59","5.14","4.14","4.15","4.51","4.23","4.41","4.50","4.58","4.29"
"Thailand"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Republic of North Macedonia"," Data source"," All types","3.90","4.27","4.04","4.01","4.58","3.94","3.91","4.49","4.60","4.86"
"Republic of North Macedonia"," Data source"," Beer","1.71","2.06","2.04","2.00","2.00","1.98","1.94","1.94","1.99","2.00"
"Republic of North Macedonia"," Data source"," Wine","1.28","1.29","1.04","1.06","1.79","1.03","1.05","1.78","1.81","2.05"
"Republic of North Macedonia"," Data source"," Spirits","0.88","0.90","0.94","0.93","0.79","0.91","0.90","0.76","0.80","0.82"
"Republic of North Macedonia"," Data source"," Other alcoholic beverages","0.02","0.02","0.02","0.02","0.01","0.02","0.01","0.01","0.01","0"
"Timor-Leste"," Data source"," All types","0.09","0.06","0.05","0.04","0.36","0.39","0.44","0.48","0.50","0.50"
"Timor-Leste"," Data source"," Beer","0.01","0.01","0","0.01","0.34","0.36","0.37","0.41","0.42","0.43"
"Timor-Leste"," Data source"," Wine","0.06","0.04","0.03","0.02","0.02","0.02","0.03","0.03","0.03","0.03"
"Timor-Leste"," Data source"," Spirits","0.01","0.01","0.01","0.01","0","0.01","0.04","0.04","0.05","0.05"
"Timor-Leste"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Togo"," Data source"," All types","1.31","1.41","1.45","1.46","1.11","1.04","1.06","1.04","0.98","1.16"
"Togo"," Data source"," Beer","0.68","0.67","0.60","0.51","0.48","0.47","0.47","0.45","0.43","0.46"
"Togo"," Data source"," Wine","0.25","0.33","0.39","0.42","0.32","0.32","0.26","0.21","0.20","0.10"
"Togo"," Data source"," Spirits","0.03","0.05","0.06","0.13","0.06","0.05","0.03","0.04","0.06","0.27"
"Togo"," Data source"," Other alcoholic beverages","0.35","0.36","0.40","0.40","0.25","0.20","0.30","0.35","0.29","0.33"
"Tonga"," Data source"," All types","1.08","1.10","2.05","1.79","1.57","1.79","1.79","1.50","1.34","1.24"
"Tonga"," Data source"," Beer","0.62","0.62","0.87","0.87","0.88","0.89","0.89","0.89","0.65","0.66"
"Tonga"," Data source"," Wine","0.12","0.11","0.16","0.09","0.28","0.30","0.22","0.08","0.10","0.12"
"Tonga"," Data source"," Spirits","0.35","0.36","1.02","0.83","0.41","0.43","0.55","0.51","0.59","0.46"
"Tonga"," Data source"," Other alcoholic beverages","0","0","0","0","0","0.18","0.13","0.02","0","0"
"Trinidad and Tobago"," Data source"," All types","6.37","6.41","6.37","6.35","6.12","5.82","5.53","5.12","4.55","4.68"
"Trinidad and Tobago"," Data source"," Beer","3.32","3.27","3.20","3.21","3.15","2.96","2.78","2.53","2.05","2.12"
"Trinidad and Tobago"," Data source"," Wine","0.12","0.15","0.14","0.10","0.13","0.13","0.11","0.07","0.06","0.09"
"Trinidad and Tobago"," Data source"," Spirits","2.82","2.88","2.92","2.91","2.72","2.64","2.64","2.51","2.43","2.46"
"Trinidad and Tobago"," Data source"," Other alcoholic beverages","0.10","0.11","0.12","0.12","0.11","0.10","0","0","0","0"
"Tunisia"," Data source"," All types","1.39","1.37","1.23","1.45","1.37","1.35","1.33","1.30","1.34","1.35"
"Tunisia"," Data source"," Beer","0.96","0.93","0.91","0.88","0.85","0.82","0.79","0.78","0.74","0.78"
"Tunisia"," Data source"," Wine","0.38","0.38","0.25","0.51","0.45","0.47","0.49","0.48","0.56","0.53"
"Tunisia"," Data source"," Spirits","0.05","0.05","0.06","0.06","0.06","0.06","0.04","0.04","0.04","0.04"
"Tunisia"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Turkey"," Data source"," All types","1.40","1.39","1.26","1.29","1.29","1.35","1.42","1.47","1.49","1.54"
"Turkey"," Data source"," Beer","0.84","0.85","0.79","0.76","0.77","0.81","0.79","0.77","0.74","0.76"
"Turkey"," Data source"," Wine","0.10","0.08","0.05","0.05","0.06","0.07","0.04","0.04","0.05","0.05"
"Turkey"," Data source"," Spirits","0.47","0.46","0.42","0.47","0.46","0.47","0.59","0.66","0.69","0.73"
"Turkey"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Turkmenistan"," Data source"," All types","2.35","2.41","2.55","2.72","2.85","2.86","2.88","2.86","2.90","3.78"
"Turkmenistan"," Data source"," Beer","0.25","0.22","0.30","0.27","0.22","0.19","0.17","0.09","0.08","0.08"
"Turkmenistan"," Data source"," Wine","0.82","0.95","1.01","1.20","1.37","1.42","1.46","1.51","1.54","2.39"
"Turkmenistan"," Data source"," Spirits","1.28","1.24","1.24","1.25","1.26","1.25","1.26","1.26","1.28","1.31"
"Turkmenistan"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Tuvalu"," Data source"," All types","1.31","1.05","0.59","1.37","0.94","1.98","1.53","0.58","2.13","1.24"
"Tuvalu"," Data source"," Beer","0.06","0.11","0.03","0.85","0.54","0.05","0.11","0.32","1.15","0.92"
"Tuvalu"," Data source"," Wine","0.54","0.16","0.07","0.15","0.17","0.04","0.08","0.14","0.20","0.06"
"Tuvalu"," Data source"," Spirits","0.72","0.78","0.49","0.37","0.23","1.89","1.34","0.13","0.79","0.27"
"Tuvalu"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Uganda"," Data source"," All types","10.88","11.12","10.90","11.09","11.41","11.15","11.45","11.71","11.87","11.73"
"Uganda"," Data source"," Beer","0.65","0.54","0.58","0.56","0.51","0.44","0.43","0.44","0.50","0.57"
"Uganda"," Data source"," Wine","0.01","0","0","0","0","0.01","0","0","0","0"
"Uganda"," Data source"," Spirits","0.16","0.17","0.18","0.18","0.19","0.21","0.18","0.19","0.19","0.20"
"Uganda"," Data source"," Other alcoholic beverages","10.05","10.40","10.14","10.34","10.71","10.50","10.84","11.08","11.17","10.96"
"Ukraine"," Data source"," All types","9.41","9.53","8.92","8.04","7.34","6.79","5.92","4.89","4.31","4.49"
"Ukraine"," Data source"," Beer","3.32","3.57","3.55","3.01","2.67","2.18","1.95","1.74","1.51","1.28"
"Ukraine"," Data source"," Wine","0.84","0.84","0.78","0.69","0.63","0.55","0.68","0.70","0.47","0.36"
"Ukraine"," Data source"," Spirits","4.60","4.84","4.36","4.13","3.86","4.06","3.29","2.45","2.33","2.85"
"Ukraine"," Data source"," Other alcoholic beverages","0.66","0.28","0.23","0.21","0.18","0","0","0","0","0"
"United Arab Emirates"," Data source"," All types","1.72","1.82","1.62","1.62","1.62","1.58","1.56","1.59","1.61","1.63"
"United Arab Emirates"," Data source"," Beer","0.20","0.24","0.27","0.31","0.37","0.42","0.45","0.48","0.48","0.50"
"United Arab Emirates"," Data source"," Wine","0.11","0.12","0.11","0.12","0.13","0.13","0.07","0.07","0.07","0.07"
"United Arab Emirates"," Data source"," Spirits","1.40","1.45","1.23","1.18","1.12","1.03","1.04","1.03","1.05","1.06"
"United Arab Emirates"," Data source"," Other alcoholic beverages","0.01","0.01","0.01","0.01","0.01","0.01","0","0","0","0"
"United Kingdom of Great Britain and Northern Ireland"," Data source"," All types","10.14","10.78","11.14","10.96","11.37","11.55","11.25","11.31","11.29","10.82"
"United Kingdom of Great Britain and Northern Ireland"," Data source"," Beer","3.84","4.22","4.45","4.70","4.85","5.09","5.16","5.11","5.06","4.98"
"United Kingdom of Great Britain and Northern Ireland"," Data source"," Wine","3.23","3.44","3.53","3.25","3.42","3.32","3.04","3.27","3.60","3.25"
"United Kingdom of Great Britain and Northern Ireland"," Data source"," Spirits","2.16","2.28","2.35","2.25","2.45","2.51","2.45","2.32","2.03","1.96"
"United Kingdom of Great Britain and Northern Ireland"," Data source"," Other alcoholic beverages","0.92","0.83","0.80","0.75","0.65","0.62","0.60","0.61","0.61","0.63"
"United Republic of Tanzania"," Data source"," All types","6.28","4.95","6.87","6.02","5.70","5.63","3.39","5.07","6.21","5.92"
"United Republic of Tanzania"," Data source"," Beer","0.69","0.76","0.77","0.64","0.56","0.51","0.50","0.46","0.49","0.52"
"United Republic of Tanzania"," Data source"," Wine","0.02","0.01","0.01","0.01","0.01","0.01","0","0.01","0.01","0"
"United Republic of Tanzania"," Data source"," Spirits","0.20","0.18","0.15","0.15","0.15","0.12","0.09","0.11","0.09","0.10"
"United Republic of Tanzania"," Data source"," Other alcoholic beverages","5.38","3.99","5.94","5.22","4.98","5.00","2.80","4.49","5.62","5.30"
"United States of America"," Data source"," All types","8.71","8.74","8.74","8.63","8.52","8.48","8.40","8.33","8.25","8.21"
"United States of America"," Data source"," Beer","4.43","4.54","4.54","4.54","4.50","4.58","4.58","4.66","4.66","4.62"
"United States of America"," Data source"," Wine","1.48","1.44","1.44","1.40","1.36","1.32","1.29","1.25","1.17","1.17"
"United States of America"," Data source"," Spirits","2.80","2.76","2.76","2.69","2.65","2.57","2.54","2.42","2.42","2.42"
"United States of America"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Uruguay"," Data source"," All types","6.67","6.76","6.67","6.58","6.35","5.66","5.11","5.86","6.48","6.65"
"Uruguay"," Data source"," Beer","1.88","1.86","1.61","1.49","1.35","1.10","0.86","1.00","1.19","1.37"
"Uruguay"," Data source"," Wine","3.85","3.97","4.15","4.19","4.23","3.88","3.61","4.12","4.36","4.44"
"Uruguay"," Data source"," Spirits","0.94","0.93","0.91","0.90","0.77","0.68","0.64","0.73","0.93","0.85"
"Uruguay"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Uzbekistan"," Data source"," All types","1.78","1.84","1.86","1.93","1.88","2.02","3.35","3.12","3.23","3.22"
"Uzbekistan"," Data source"," Beer","0.84","0.78","0.67","0.62","0.46","0.35","0.28","0.25","0.23","0.20"
"Uzbekistan"," Data source"," Wine","0.10","0.22","0.22","0.23","0.25","0.36","0.50","0.37","0.49","0.48"
"Uzbekistan"," Data source"," Spirits","0.84","0.84","0.97","1.09","1.17","1.30","2.57","2.49","2.51","2.54"
"Uzbekistan"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Vanuatu"," Data source"," All types","0.83","1.18","1.01","1.00","0.88","0.85","1.20","1.24","0.91","1.21"
"Vanuatu"," Data source"," Beer","0.32","0.33","0.45","0.46","0.47","0.49","0.51","0.52","0.40","0.46"
"Vanuatu"," Data source"," Wine","0.23","0.28","0.18","0.18","0.22","0.17","0.18","0.19","0.16","0.24"
"Vanuatu"," Data source"," Spirits","0.28","0.57","0.39","0.36","0.19","0.19","0.51","0.53","0.34","0.51"
"Vanuatu"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Venezuela (Bolivarian Republic of)"," Data source"," All types","7.56","8.15","8.69","8.25","7.91","7.58","6.33","6.92","8.08","8.04"
"Venezuela (Bolivarian Republic of)"," Data source"," Beer","5.79","6.36","6.85","6.38","6.17","5.95","4.40","5.17","6.02","5.61"
"Venezuela (Bolivarian Republic of)"," Data source"," Wine","0.10","0.09","0.11","0.14","0.11","0.07","0.04","0.06","0.11","0.11"
"Venezuela (Bolivarian Republic of)"," Data source"," Spirits","1.63","1.66","1.69","1.71","1.60","1.53","1.88","1.69","1.95","2.32"
"Venezuela (Bolivarian Republic of)"," Data source"," Other alcoholic beverages","0.05","0.04","0.04","0.03","0.03","0.03","0","0","0","0"
"Viet Nam"," Data source"," All types","1.91","1.73","1.52","1.36","1.20","1.62","1.58","1.41","1.36","1.28"
"Viet Nam"," Data source"," Beer","1.81","1.63","1.43","1.28","1.13","1.56","1.52","1.36","1.32","1.27"
"Viet Nam"," Data source"," Wine","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0"
"Viet Nam"," Data source"," Spirits","0.08","0.08","0.07","0.07","0.06","0.05","0.05","0.04","0.04","0.02"
"Viet Nam"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Yemen"," Data source"," All types","0.03","0.04","0.05","0.04","0.04","0.06","0.04","0.07","0.08","0.07"
