"","","","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)"
"Bhutan"," Data source"," Spirits","0.03","0.02","0.02","0.02","0.36","0.34","0.03","0","0","0"
"Bhutan"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Bolivia (Plurinational State of)"," Data source"," All types","3.83","3.75","3.47","3.22","2.85","2.65","2.36","2.28","2.23","2.34"
"Bolivia (Plurinational State of)"," Data source"," Beer","2.94","2.79","2.55","2.34","2.13","1.99","1.69","1.58","1.54","1.67"
"Bolivia (Plurinational State of)"," Data source"," Wine","0.22","0.26","0.24","0.24","0.13","0.10","0.10","0.08","0.10","0.10"
"Bolivia (Plurinational State of)"," Data source"," Spirits","0.65","0.69","0.67","0.62","0.58","0.56","0.57","0.61","0.58","0.56"
"Bolivia (Plurinational State of)"," Data source"," Other alcoholic beverages","0.02","0.01","0.01","0.01","0.01","0","0","0","0","0"
"Bosnia and Herzegovina"," Data source"," All types","4.71","5.09","5.11","4.78","4.53","4.22","4.12","3.89","3.95","3.69"
"Bosnia and Herzegovina"," Data source"," Beer","3.50","3.80","3.77","3.57","3.34","3.03","2.87","2.65","2.61","2.57"
"Bosnia and Herzegovina"," Data source"," Wine","0.49","0.54","0.58","0.45","0.41","0.40","0.41","0.38","0.49","0.27"
"Bosnia and Herzegovina"," Data source"," Spirits","0.59","0.62","0.62","0.61","0.64","0.67","0.85","0.87","0.85","0.85"
"Bosnia and Herzegovina"," Data source"," Other alcoholic beverages","0.13","0.14","0.13","0.14","0.13","0.12","0","0","0","0"
"Botswana"," Data source"," All types","5.30","7.46","6.84","7.13","6.15","4.67","5.38","6.16","5.12","4.95"
"Botswana"," Data source"," Beer","2.25","2.16","2.63","2.65","2.59","2.48","2.51","2.63","2.72","2.32"
"Botswana"," Data source"," Wine","0.70","1.13","1.82","1.42","0.91","0.44","0.45","0.53","0.23","0.34"
"Botswana"," Data source"," Spirits","0.66","2.06","0.49","1.07","1.01","0","0.81","1.21","0.36","0.53"
"Botswana"," Data source"," Other alcoholic beverages","1.69","2.11","1.89","1.99","1.64","1.74","1.61","1.78","1.81","1.76"
"Brazil"," Data source"," All types","7.21","7.09","7.08","7.00","6.85","6.77","6.88","7.07","7.22","7.35"
"Brazil"," Data source"," Beer","4.08","3.78","3.68","3.51","3.32","3.19","3.15","3.29","3.32","3.31"
"Brazil"," Data source"," Wine","0.39","0.37","0.38","0.41","0.46","0.40","0.40","0.42","0.42","0.44"
"Brazil"," Data source"," Spirits","2.71","2.91","2.99","3.05","3.04","3.15","3.32","3.35","3.47","3.59"
"Brazil"," Data source"," Other alcoholic beverages","0.03","0.03","0.03","0.03","0.03","0.03","0.01","0.01","0.01","0.01"
